number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
60,12.337533866356377,2025-10-15 14:50:14.599736,2025-10-15 14:50:14.736456,0 days 00:00:00.136720,0.027003696156245052,0.006649150054778909,0.1253442484135517,True,12,0.0418965835857934,3008769.149095757,0.6666666666666666,0.6666666666666666,0.6666666666666666,COMPLETE
61,7.702411290712876,2025-10-15 14:50:14.737351,2025-10-15 14:50:15.025536,0 days 00:00:00.288185,0.0006849905332388105,0.7013540331395108,0.4213384102686047,True,21,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
62,20.62820145598854,2025-10-15 14:50:15.026436,2025-10-15 14:50:15.329655,0 days 00:00:00.303219,0.003282633048173829,0.427426288633542,0.21628459917822768,True,22,0.07916438962539274,2891769.8054181426,0.45454545454545453,0.45454545454545453,0.45454545454545453,COMPLETE
63,7.702411290712876,2025-10-15 14:50:15.330577,2025-10-15 14:50:15.682167,0 days 00:00:00.351590,0.0021215656630557615,0.75456695927985,0.3334078633529735,True,26,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
64,7.702411290712876,2025-10-15 14:50:15.683064,2025-10-15 14:50:16.145921,0 days 00:00:00.462857,0.006370834749726971,0.599541030413235,0.5300932950141273,True,28,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
65,15.22711981069581,2025-10-15 14:50:16.147062,2025-10-15 14:50:16.334657,0 days 00:00:00.187595,0.000942298453875689,0.4410771584938217,0.019469530041028853,True,17,0.045864590548344464,2996293.2650837423,0.5882352941176471,0.5882352941176471,0.5882352941176471,COMPLETE
66,14.313011357733195,2025-10-15 14:50:16.335582,2025-10-15 14:50:16.670930,0 days 00:00:00.335348,0.010810636813485226,0.32755286741446893,0.3913170623642701,True,24,0.04681481872603721,2993357.1474262374,0.75,0.75,0.75,COMPLETE
67,7.702411290712876,2025-10-15 14:50:16.671898,2025-10-15 14:50:17.102264,0 days 00:00:00.430366,0.0047062523582045625,0.770160260950635,0.09247248408398182,False,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
68,11.855945615730572,2025-10-15 14:50:17.103216,2025-10-15 14:50:17.404643,0 days 00:00:00.301427,0.00794321899943011,0.5205414779314799,0.1866251326237264,True,27,0.019501086829295744,3079090.4865451236,0.8518518518518519,0.8518518518518519,0.8518518518518519,COMPLETE
69,12.295637474963636,2025-10-15 14:50:17.405620,2025-10-15 14:50:17.680268,0 days 00:00:00.274648,0.017818969878239704,0.03355514389935884,0.7255937916240696,True,19,0.039933639489198036,3014990.701673849,0.7894736842105263,0.7894736842105263,0.7894736842105263,COMPLETE
