,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_49,134.821993468969,0.800396995576079,0.756881791707182,0,1,1
Cluster_50,38.0598812560978,0.433329200885809,0.433781157387444,0,1,1
Cluster_51,37.3574382637072,-0.844449815307942,0.634109501145052,0,1,1
Cluster_52,8.36006864195773,0.952061910528762,0.736656777601914,0,1,1
Cluster_53,47.2612428365979,1.03450750350778,0.596848003581213,0.0578162334475857,0.953895007387441,1
Cluster_54,32.6234178644422,-0.339694419606009,0.49039656663426,0,1,1
Cluster_55,44.277229453814,0.352839357635042,0.459091984572741,0,1,1
Cluster_56,103.585851758629,1.24073434350182,1.26005678785781,0.191050392189932,0.848486112946962,1
Cluster_57,50.2341031583241,0.759596030712278,0.920693562204503,0,1,1
Cluster_58,36.9939403869144,-0.0607386974144177,0.521246834156372,0,1,1
Cluster_59,39.4739134608639,0.455146884763747,1.18995551393149,0,1,1
Cluster_60,62.5223912157903,0,4.18129092167748,0,1,1
Cluster_61,21.2136065299735,0.569244377988192,0.640366415723355,0,1,1
Cluster_62,53.4822530455791,-0.0957270854413005,0.448769322697302,0,1,1
Cluster_63,56.5827076017757,-0.0417586121052154,0.227827870690393,0,1,1
Cluster_64,38.8155739881143,-0.376284197825375,0.423775848356546,0,1,1
Cluster_65,14.6809675886694,0.59065172041406,0.337235341952071,0,1,1
Cluster_66,37.0093778905969,0.834966474336696,0.557875662578831,0,1,1
Cluster_67,17.0982796632849,0.210723734729719,0.766656594536971,0,1,1
Cluster_68,18.5179306434493,2.17177925353082,0.931949740693112,1.25734168095733,0.208629937124191,1
Cluster_69,253.100864810958,0.42491812322003,0.377497955680835,0,1,1
Cluster_70,27.2292336783365,-0.206228093173165,0.317142825452713,0,1,1
Cluster_71,68.7543388372898,0.740339713069111,0.523335335105265,0,1,1
Cluster_72,17.7287684584554,-0.630124642554478,0.558613538967329,0,1,1
Cluster_73,38.3407452021872,0.411421492315572,0.430207299706912,0,1,1
Cluster_74,15.3724028053379,0.206935702111449,0.409470105948748,0,1,1
Cluster_75,311.30943519325,0.913430345816627,0.663259390750023,0,1,1
Cluster_76,25.4089489919007,1.14643655103058,0.595322575745683,0.245978494679388,0.8056988798953,1
Cluster_77,26.9821486665042,0.427713382953179,0.584788746509288,0,1,1
Cluster_78,798.729160956626,-0.723791908219214,0.333041286692103,0,1,1
Cluster_79,1311.98819920757,-1.24445665113419,0.438646107889449,-0.557298119685583,0.577323760187119,1
Cluster_80,2749.14763218951,-0.930106403138437,0.367864098879789,0,1,1
Cluster_81,44.0381207377753,0.654654079403187,0.686745702296893,0,1,1
Cluster_82,44.2006701143258,1.29871063588088,0.763513985734252,0.391231387325033,0.695626209798394,1
Cluster_83,36.4207858021075,0.376946668838873,0.512875255812492,0,1,1
Cluster_84,70.7076055902649,-0.182300922096127,0.300083151097161,0,1,1
Cluster_85,37.6243551553921,0.851429865095084,1.27848839630367,0,1,1
Cluster_86,93.0825372126509,-0.309323229291193,0.413707173003737,0,1,1
Cluster_87,429.782164952247,0.517000042556131,0.246968455856249,0,1,1
Cluster_88,9.32335989390046,0.637627486990164,0.522585318746235,0,1,1
Cluster_89,18.4973799981641,1.49411501858839,1.03384809568729,0.477937736355656,0.632694521634243,1
Cluster_90,41.6199818028951,0.956679890697519,0.831868337708314,0,1,1
Cluster_91,29.4430305129061,0.446390765669708,0.728957068493455,0,1,1
Cluster_92,61.1868907090536,1.10868240069858,0.784771278929765,0.138489268932978,0.889853750047079,1
Cluster_93,184.345647734811,-0.186050948209288,0.637361836323668,0,1,1
Cluster_94,9.53318012180699,1.06786115814551,2.33475300922388,0.0290656689925716,0.976812216397993,1
Cluster_95,63.7576799810054,-0.336036684980771,0.35763080897382,0,1,1
Cluster_96,132.706537922716,0.574927716533485,0.551985146528995,0,1,1
Cluster_97,84.3879689131464,0.830574973790429,0.79660240444865,0,1,1
Cluster_98,13.0654924255624,4.90065116467283,2.24483266926814,1.73761332774283,0.0822789698379634,1
Cluster_99,91.0545645019594,-0.413039304884217,0.802447890171654,0,1,1
Cluster_100,22.0941416982249,0.0167742260354237,0.499575914665713,0,1,1
Cluster_101,32.4718223193887,1.36456637001776,0.903992623406043,0.403284673545406,0.686738815373175,1
Cluster_102,12.8733514256562,-0.258761043666106,0.930916156678916,0,1,1
Cluster_103,292.614996517158,0.530057176012952,0.508532957955364,0,1,1
